id,label,entry_frame,exit_frame,total_frames,speed_kmph,congestion
1,bus,0,48,49,110.46,Normal
2,car,0,20,21,73.41,Normal
3,car,0,35,36,149.04,Normal
4,truck,0,69,70,101.5,Normal
5,car,0,27,28,168.32,Normal
19,truck,12,13,2,75.7,Normal
21,car,14,124,111,86.71,Normal
23,car,16,21,6,21.8,Normal
24,car,17,19,3,88.31,Normal
26,car,20,68,49,102.26,Normal
28,bus,21,112,92,76.67,Normal
31,car,23,25,3,132.89,Normal
35,car,26,34,9,23.41,Normal
40,car,28,125,98,94.85,Normal
54,car,33,34,2,18.71,Normal
62,truck,38,119,82,105.68,Normal
65,bus,40,55,16,43.73,Normal
67,bus,41,48,8,91.59,Normal
68,car,41,92,52,96.27,Normal
80,bus,47,54,8,8.48,Normal
85,bus,51,70,20,69.38,Normal
95,car,58,74,17,73.93,Normal
99,bus,60,64,5,149.51,Normal
100,truck,60,72,13,72.81,Normal
104,truck,67,72,6,98.99,Normal
112,car,75,85,11,98.34,Normal
118,car,79,172,94,101.26,Normal
126,person,84,142,59,131.11,Normal
129,car,87,162,76,106.42,Normal
139,truck,94,97,4,99.06,Normal
143,truck,96,103,8,154.99,Normal
156,car,104,190,87,68.68,Normal
163,car,107,155,49,89.38,Normal
173,cell phone,111,124,14,108.08,Normal
182,car,119,196,78,114.49,Normal
186,truck,124,126,3,99.86,Normal
192,car,132,143,12,21.11,Normal
199,car,146,246,101,90.45,Normal
208,bus,152,161,10,33.69,Normal
209,car,153,230,78,119.97,Normal
219,car,160,212,53,91.18,Normal
222,car,162,166,5,99.32,Normal
233,truck,173,181,9,46.55,Normal
236,car,178,314,137,78.72,Normal
238,car,184,199,16,35.56,Normal
247,car,196,282,87,58.47,Normal
254,car,202,264,63,122.57,Normal
262,car,212,288,77,123.33,Normal
264,car,213,265,53,98.44,Normal
266,car,215,219,5,35.97,Normal
273,car,224,233,10,31.47,Normal
285,truck,235,303,69,123.39,Normal
293,truck,245,259,15,161.09,Normal
299,car,249,304,56,89.83,Normal
303,truck,252,325,74,125.67,Normal
306,truck,254,356,103,69.72,Normal
312,truck,261,263,3,55.6,Normal
318,car,265,272,8,21.03,Normal
336,truck,271,362,92,96.6,Normal
343,bus,274,358,85,63.14,Normal
349,bus,278,279,2,34.26,Normal
351,truck,281,283,3,125.49,Normal
354,bus,281,289,9,30.54,Normal
359,truck,284,297,14,42.62,Normal
360,car,285,288,4,103.6,High
365,truck,290,291,2,126.79,Normal
371,truck,291,299,9,59.17,Normal
375,truck,293,298,6,51.48,High
381,car,295,376,82,64.51,Normal
383,car,296,360,65,140.85,Normal
392,car,308,310,3,82.34,Normal
394,car,310,381,72,83.17,Normal
399,bus,315,324,10,43.65,Normal
405,truck,323,335,13,118.48,Normal
411,car,331,381,51,87.86,Normal
412,car,332,381,50,88.3,Normal
425,bus,357,381,25,39.73,Normal
